logM200,sigma
14.58127,718.3582
13.65818,716.8147
14.23188,716.7085
14.04194,715.5014
14.38547,715.4863
14.21814,714.7955
13.73319,713.8922
14.30717,713.8042
14.05749,712.3921
13.47587,710.1726
13.90655,709.907
14.68972,708.614
13.47336,708.5785
14.34407,708.2745
13.6553,707.8701
13.9055,706.8959
13.89775,706.4151
14.18482,704.1948
13.8983,703.7077
14.51349,703.6788
14.14121,703.2744
14.64821,702.4726
14.3654,702.4137
14.33535,701.3292
13.5547,699.811
14.53436,699.7578
14.07777,699.501
13.66594,699.4567
14.50036,698.9696
14.73098,698.0686
13.83673,697.4198
14.02284,696.7147
13.39821,695.8257
13.65268,695.3829
14.47284,695.0818
14.0352,694.6744
13.67382,694.4973
14.01458,694.1431
14.25838,693.9659
13.59052,693.7003
13.68265,693.1689
14.15669,692.9928
13.7906,691.132
14.21571,688.422
13.84225,688.3866
14.06799,688.2767
14.29784,688.0766
13.64414,687.8552
13.9231,687.0582
14.55133,686.2257
13.9346,686.0426
13.62622,684.667
13.7765,683.1615
14.32138,682.5544
13.9263,682.3284
13.68926,682.2759
13.59482,681.7445
13.90373,680.0618
14.35333,679.8847
14.025,679.3533
14.14328,678.3792
14.07213,677.7149
14.21918,677.5969
13.39985,677.3164
13.84629,676.9622
14.34741,676.4561
13.77445,676.0766
13.88507,674.2611
13.46315,673.2426
14.18327,672.7112
13.77435,671.9142
13.81276,670.5858
14.21717,669.9612
14.08424,669.6141
13.56594,668.9917
14.18284,668.9385
14.27469,668.7791
13.77207,668.726
14.21722,668.726
14.14214,668.318
13.46531,668.1946
14.1186,667.9732
13.34519,667.6632
13.89068,666.2817
13.64844,666.0691
14.18234,665.8035
13.91712,665.2721
14.0666,664.2536
13.85081,663.9437
14.33099,663.9435
13.92996,663.4123
13.52147,662.8809
13.77457,661.2868
14.83153,660.7454
13.88507,659.9584
13.85005,659.7813
14.02558,659.427
13.52311,658.5414
13.73668,658.3643
13.93632,658.3643
14.15482,658.1137
13.35669,657.5673
14.56434,657.1498
13.73887,656.5931
13.64692,656.5045
13.83066,655.3532
13.79454,654.4676
13.84633,654.3791
14.35059,653.4512
14.17009,653.297
13.5968,652.8735
14.77138,652.5528
13.24136,652.3421
13.58464,651.9879
13.50682,651.4565
14.08976,651.3632
14.19435,650.9071
14.21885,650.7164
13.42132,650.6595
14.14638,650.6094
13.66934,650.5836
13.92077,650.0218
13.72808,649.8371
14.2807,649.6284
14.41987,648.5694
13.95267,648.0381
14.10808,647.9141
14.02031,646.9399
13.76954,646.6742
13.67694,646.4085
14.03346,646.2472
14.47052,646.1871
14.35006,645.9657
13.69345,645.8772
14.14646,645.7886
14.07658,645.4344
14.24254,644.6373
14.13509,643.5746
13.85846,643.2203
13.95912,643.2203
14.30814,642.6535
13.65461,642.1576
14.61923,641.8631
14.24847,641.6558
13.75653,641.5377
13.99544,641.3606
14.35134,641.2011
13.84293,640.8292
14.01956,640.7849
14.07413,640.6973
14.41216,640.165
14.05104,640.1207
14.44335,639.9259
13.74352,639.4258
13.54069,639.058
14.13483,638.9694
14.02022,638.6753
14.15871,638.3495
13.90694,638.1723
14.24985,637.8291
14.18562,637.6988
14.19502,637.6853
14.57325,637.331
14.02477,637.1096
13.70298,636.9768
14.08492,636.8456
14.63189,636.6289
14.11564,635.6622
14.10563,635.5876
13.98655,635.3886
