logM200,sigma
12.48086,225.2998
12.92793,225.2998
12.87094,225.2998
12.5289,225.2998
13.18376,225.2998
13.16974,225.2998
12.51668,225.2998
13.06371,225.2555
13.23849,225.2467
13.58328,225.0897
13.38779,225.0341
13.46582,225.0341
12.95098,225.0341
12.30678,225.0341
12.35981,225.0341
12.5931,224.9456
13.13322,224.9279
13.55518,224.7862
13.23798,224.7684
13.28609,224.7684
13.18541,224.7684
12.66928,224.7684
12.60973,224.7684
12.92399,224.7684
12.13402,224.7684
13.03468,224.7684
12.57299,224.7684
13.16161,224.7684
12.35945,224.7242
13.24498,224.6856
13.54286,224.6061
13.04768,224.5028
13.28225,224.5028
12.9469,224.5028
13.47521,224.5028
13.00003,224.5028
13.33923,224.5028
12.60667,224.5028
12.62623,224.5028
13.05215,224.5028
12.44777,224.5028
13.06285,224.5028
12.74477,224.5028
13.15147,224.5028
12.74857,224.5028
12.20402,224.5028
13.26529,224.4142
13.22088,224.4142
13.69277,224.4142
13.21599,224.4142
12.89163,224.4142
12.56309,224.4142
13.59957,224.2371
13.57652,224.2371
13.46389,224.2371
13.07576,224.2371
13.52994,224.2371
13.63863,224.2371
13.60282,224.2371
13.51978,224.2371
13.46534,224.2371
12.53831,224.2371
12.44754,224.2371
11.97981,224.2371
12.7554,224.2371
13.27817,224.1865
12.84023,224.1839
13.25959,224.1662
13.34749,224.06
13.59627,224.06
12.79846,224.06
12.85452,224.06
13.3447,223.9714
13.09316,223.9714
12.44188,223.9714
13.09146,223.9714
12.84314,223.9714
12.62238,223.9714
12.59549,223.9714
12.55073,223.9714
13.05695,223.9714
13.10449,223.9714
13.25275,223.8828
13.05815,223.8651
13.17123,223.7588
12.25316,223.75
13.48615,223.7057
13.66427,223.7057
13.17655,223.7057
12.86419,223.7057
13.15637,223.7057
12.86197,223.7057
12.86653,223.7057
12.75809,223.7057
12.94121,223.6526
13.36507,223.5994
12.49586,223.5729
13.01968,223.5286
13.31568,223.5286
13.47409,223.5286
12.74179,223.5286
13.58071,223.4755
12.28178,223.44
12.77107,223.44
13.12292,223.44
13.10887,223.44
12.78839,223.44
12.56817,223.44
12.94533,223.44
12.51189,223.44
12.19225,223.44
12.42302,223.44
12.96246,223.4253
12.82502,223.3957
13.54033,223.3515
13.49609,223.3515
13.54399,223.3515
13.14017,223.3515
13.49244,223.1743
13.46876,223.1743
13.61154,223.1743
13.17267,223.1743
12.7344,223.1743
12.88337,223.1743
12.88866,223.1743
12.81563,223.1743
12.41333,223.1743
11.88791,223.1743
12.58392,223.0858
13.38519,223.0731
12.7812,223.0415
13.56853,222.9972
12.85868,222.9972
13.79807,222.9529
13.27688,222.9529
13.47101,222.9466
13.50153,222.9087
13.28998,222.9087
12.91201,222.9087
12.77547,222.9087
13.24943,222.9087
13.0526,222.9087
12.58258,222.9087
13.17525,222.9087
12.91721,222.9087
12.56986,222.9087
12.20178,222.9087
12.24358,222.9087
13.05094,222.8644
13.55114,222.8357
13.35176,222.8201
12.82519,222.8201
14.35245,222.8024
13.33234,222.7758
13.31127,222.7315
13.31267,222.643
13.42278,222.643
13.17274,222.643
12.87462,222.643
12.71538,222.643
13.5142,222.643
13.04947,222.643
12.78095,222.643
13.05021,222.643
12.16071,222.643
12.83157,222.643
13.8459,222.6213
13.06627,222.5987
12.99276,222.5987
12.26195,222.5987
13.10396,222.5987
13.28426,222.5924
13.425,222.5367
13.42907,222.4659
13.57107,222.4659
12.96891,222.4659
12.67313,222.4659
13.90505,222.3773
13.7459,222.3773
13.58529,222.3773
13.26251,222.3773
13.20906,222.3773
13.17765,222.3773
13.01377,222.3773
13.22034,222.3773
12.78321,222.3773
13.20652,222.3773
13.0765,222.3773
13.01013,222.3773
12.52917,222.3773
12.66326,222.3773
14.02312,222.3242
13.36891,222.1293
12.9192,222.1116
13.16396,222.1116
12.84881,222.1116
12.73487,222.1116
12.78727,222.1116
12.1738,222.1116
12.75134,222.1116
12.6943,222.1116
12.39057,222.1116
12.58501,222.1116
13.4945,222.0749
13.14443,222.061
12.9878,222.023
13.35949,222.0104
13.23919,221.8459
13.36149,221.8459
12.96501,221.8459
12.74329,221.8459
12.69512,221.8459
12.83568,221.8459
12.53685,221.8459
12.57968,221.8459
12.54461,221.8459
13.15855,221.7928
13.29796,221.7574
13.00749,221.7574
13.34441,221.7397
12.84169,221.7131
13.16193,221.7131
13.59553,221.6941
13.76981,221.6688
13.19445,221.5802
13.67329,221.5802
13.66585,221.5802
13.73097,221.5802
12.80079,221.5802
12.85625,221.5802
12.90116,221.5802
13.30075,221.5802
12.2216,221.5802
12.849,221.5802
13.46349,221.4917
11.62431,221.4031
12.88607,221.4031
12.86942,221.4031
12.87758,221.4031
13.15027,221.4031
12.41622,221.4031
12.65475,221.4031
13.18971,221.381
13.19808,221.362
13.19346,221.3588
13.30475,221.316
13.62449,221.3146
13.14366,221.3146
12.95179,221.3146
13.3873,221.3146
13.02194,221.3146
13.04762,221.3146
13.01914,221.3146
12.83922,221.3146
13.09926,221.3146
12.97332,221.3146
12.51748,221.3146
12.68002,221.3146
11.9422,221.3146
13.94761,221.2703
13.44072,221.2614
13.03388,221.226
13.81529,221.226
13.22874,221.226
12.94377,221.226
13.17654,221.1817
13.41831,221.0932
13.51067,221.0489
13.11053,221.0489
12.91337,221.0489
12.41869,221.0489
12.75326,221.0489
13.12919,221.0489
13.2806,221.0489
12.87911,221.0489
12.99158,221.0489
12.84324,221.0489
13.09509,221.0489
12.90686,221.0489
12.09938,221.0489
13.65125,221.0046
13.51361,220.9297
12.96304,220.8718
12.62929,220.8718
13.2758,220.7832
13.19433,220.7832
13.09821,220.7832
12.97792,220.7832
12.39907,220.7832
12.94688,220.7832
12.85793,220.7832
12.43445,220.7832
12.92459,220.7832
12.76316,220.7389
13.2941,220.7389
13.11632,220.7199
12.86735,220.6946
12.9864,220.6946
12.67963,220.6946
13.44436,220.6769
12.79359,220.6503
13.44476,220.5175
13.7927,220.5175
13.14506,220.5175
13.67831,220.5175
13.66355,220.5175
12.96028,220.5175
12.71997,220.5175
12.56492,220.5175
13.04587,220.5175
13.19153,220.5175
12.37013,220.5175
12.99804,220.5175
12.26712,220.5175
12.55727,220.4732
13.45713,220.4289
13.36456,220.3758
12.87425,220.3404
13.25784,220.2518
13.27255,220.2518
13.63712,220.2518
13.34928,220.2518
13.10724,220.2518
13.54281,220.2518
13.2291,220.2518
13.3585,220.2518
13.45358,220.2518
12.96097,220.2518
12.75611,220.2518
13.05098,220.2518
13.33111,220.2518
12.43317,220.2518
12.77499,220.2518
13.04767,220.2164
13.42804,220.1633
13.65128,220.1633
13.09966,220.1633
12.89865,220.119
13.50537,220.0905
13.05337,220.0304
13.05629,220.0216
13.70649,219.9861
13.71487,219.9861
13.1228,219.9861
13.33452,219.9861
12.86425,219.9861
13.30506,219.9861
12.95277,219.9861
12.5775,219.9861
13.43446,219.8799
13.15656,219.8799
13.93881,219.8622
13.29076,219.8536
13.62868,219.809
12.72664,219.809
12.67157,219.809
13.14846,219.809
13.41748,219.7205
13.03892,219.7205
13.53029,219.7205
12.92331,219.7205
13.15796,219.7205
12.66696,219.7205
12.37313,219.7205
12.47448,219.7205
13.55116,219.7027
12.92758,219.6762
13.21022,219.6319
13.19868,219.6319
13.15826,219.5433
13.13619,219.5256
13.57617,219.4548
13.28854,219.4548
13.18248,219.4548
12.94063,219.4548
12.92076,219.4548
13.14165,219.4548
12.95617,219.4016
12.59179,219.3662
12.90881,219.3662
12.49702,219.3308
13.38653,219.2776
13.22298,219.2776
12.25577,219.2776
12.7709,219.2599
13.61622,219.1891
13.22261,219.1891
13.54971,219.1891
13.36575,219.1891
13.36779,219.1891
12.82102,219.1891
13.28233,219.1891
12.97258,219.1891
12.87952,219.1891
13.03165,219.1891
12.70409,219.1891
13.26197,219.1891
13.9806,219.136
13.59905,219.1005
13.27155,219.1005
12.90942,219.1005
12.46646,219.1005
13.1351,219.1005
13.16124,219.0828
13.32204,219.071
13.42614,219.0693
13.71854,219.0499
13.15268,219.012
13.46243,218.9765
14.06452,218.9234
13.40631,218.9234
12.69336,218.9234
13.00328,218.9234
13.09289,218.9234
12.87187,218.9234
12.93585,218.9234
12.71791,218.9234
13.26603,218.9234
12.86075,218.9234
12.11151,218.9234
13.66597,218.8791
13.3577,218.764
13.57823,218.7463
13.37754,218.7463
12.81798,218.7463
12.65622,218.7463
13.57579,218.7431
13.69992,218.702
13.2692,218.6754
13.38886,218.6704
12.7518,218.6577
13.80527,218.6577
13.45481,218.6577
13.15751,218.6577
13.57521,218.6577
13.52239,218.6577
12.7648,218.6577
13.28826,218.6577
12.89092,218.6577
12.99721,218.6577
12.52288,218.6577
12.94439,218.6577
13.16435,218.6577
12.67816,218.6577
12.48368,218.6577
12.339,218.6577
13.23648,218.5692
13.61372,218.4869
13.61135,218.392
13.40389,218.392
13.42909,218.392
13.2568,218.392
13.13503,218.392
13.05,218.392
13.35156,218.392
13.40685,218.392
12.77182,218.392
12.6046,218.3066
13.64976,218.2149
13.08887,218.2149
14.07925,218.1264
13.04151,218.1264
13.19543,218.1264
12.55857,218.1264
12.86062,218.1264
12.54343,218.1264
11.93841,218.1264
12.41223,218.1264
12.29912,218.1264
13.38445,218.0821
13.06962,218.0821
12.92921,218.0378
13.45999,218.0378
12.90173,218.0378
13.60551,217.964
12.89431,217.9492
13.41958,217.8607
13.4413,217.8607
13.46494,217.8607
12.88867,217.8607
12.96383,217.8607
13.35773,217.8607
13.78221,217.8607
13.51704,217.8607
12.59318,217.8607
12.59986,217.8607
12.48517,217.8607
11.95262,217.8607
13.11521,217.8417
13.5691,217.8164
12.65451,217.8164
13.12605,217.7013
13.63936,217.7013
13.42759,217.6835
13.42367,217.6835
13.90969,217.6835
13.04336,217.6835
12.96166,217.6835
12.73475,217.6481
13.68562,217.595
13.38069,217.595
13.33726,217.595
12.68342,217.595
12.77079,217.595
12.47793,217.595
12.32782,217.595
14.03065,217.5855
13.24832,217.557
13.38899,217.5241
13.54965,217.5064
13.20019,217.5064
12.7703,217.5064
13.15315,217.4356
12.68898,217.4356
13.63626,217.4002
13.34736,217.3293
13.02526,217.3293
13.19305,217.3293
12.88566,217.3293
13.13446,217.3293
12.92715,217.3293
13.52468,217.3293
13.12501,217.3293
13.30233,217.3293
12.13492,217.3293
13.09637,217.3293
12.96074,217.3293
12.65014,217.3293
12.92795,217.3293
12.44233,217.3293
12.47466,217.3293
12.67119,217.3293
13.6075,217.3145
12.57062,217.285
13.26741,217.1965
13.4447,217.1734
13.50405,217.1699
12.96814,217.1699
13.08625,217.1522
13.35453,217.1522
12.96019,217.1522
12.23437,217.1168
13.16006,217.1079
13.29152,217.0636
13.06078,217.0636
13.31942,217.0636
12.58651,217.0636
12.27553,217.0636
11.66551,217.0636
13.5419,217.0193
12.76998,217.0193
13.43342,216.9751
12.99239,216.9751
13.1638,216.9751
13.03798,216.9751
12.91938,216.9751
12.35771,216.7979
13.28965,216.7979
13.85839,216.7979
13.05477,216.7979
12.63292,216.7979
13.14439,216.7979
12.69869,216.7979
12.83972,216.7979
12.88721,216.7979
12.71644,216.7979
12.95782,216.6799
13.18635,216.6739
13.94971,216.6208
13.24074,216.6208
13.57429,216.6131
12.78843,216.5765
13.55993,216.5323
14.0842,216.5323
13.17162,216.5323
13.09441,216.5323
12.86131,216.5323
13.24208,216.5323
12.77437,216.5323
12.73537,216.5323
13.26832,216.488
13.12247,216.4437
13.04795,216.4374
12.91927,216.4208
13.22903,216.3994
13.44709,216.3551
13.3583,216.302
13.59795,216.2666
13.80285,216.2666
13.15017,216.2666
13.56532,216.2666
13.49752,216.2666
13.05122,216.2666
13.02484,216.2666
12.88983,216.2666
13.04237,216.2666
12.5841,216.2666
12.61322,216.2666
12.89842,216.2666
12.74024,216.2666
13.40366,216.0894
13.66361,216.0009
13.27145,216.0009
13.83518,216.0009
12.96101,216.0009
12.73751,216.0009
13.15749,216.0009
12.89138,216.0009
12.65234,216.0009
12.46341,216.0009
13.07051,216.0009
12.37183,216.0009
12.57096,216.0009
13.21163,215.9655
13.6162,215.9644
13.16951,215.9477
13.35918,215.9477
13.17327,215.9123
12.73119,215.9123
12.67679,215.8946
12.66662,215.8946
12.89696,215.8592
12.76894,215.8415
13.42809,215.8238
13.87624,215.7352
13.31481,215.7352
13.15598,215.7352
13.62391,215.7352
13.06567,215.7352
13.21056,215.7352
13.07677,215.7352
13.30836,215.7352
12.90286,215.7352
12.62009,215.7352
12.97674,215.7352
12.69474,215.7352
12.88765,215.7352
12.58627,215.7352
12.24975,215.7352
12.48241,215.7352
12.35192,215.7352
13.28759,215.7036
13.13222,215.6466
14.13685,215.5758
13.77247,215.5758
13.51142,215.5581
13.19522,215.5581
13.11613,215.5581
12.76417,215.5581
12.92591,215.5581
12.68853,215.5581
13.93437,215.4695
12.64252,215.4695
12.79958,215.4695
13.4611,215.4695
13.24583,215.4695
12.92927,215.4695
12.93348,215.4695
13.24009,215.4695
12.58421,215.4695
12.46516,215.4695
13.89052,215.381
13.74693,215.381
13.80247,215.381
13.49469,215.381
13.13925,215.381
13.6217,215.3101
12.48257,215.3101
13.32001,215.2924
13.6585,215.2038
13.11339,215.2038
13.06143,215.2038
13.2587,215.2038
13.05309,215.2038
13.21559,215.2038
12.56132,215.2038
13.23469,215.2038
13.06125,215.2038
13.06596,215.2038
13.04211,215.2038
12.88332,215.2038
12.49783,215.2038
12.62216,215.2038
13.23678,215.2038
13.35145,215.2038
13.06619,215.2038
13.44395,215.1279
13.45217,215.071
12.64823,215.071
13.94162,215.0267
13.04755,215.0267
12.26209,215.0267
12.44096,214.9913
12.93146,214.9381
13.64326,214.9381
12.62836,214.9381
12.79307,214.9381
12.82196,214.9381
13.05602,214.9381
12.49962,214.9381
12.26827,214.9381
13.58748,214.9204
12.382,214.8496
13.22037,214.8053
13.74637,214.7964
13.60877,214.761
13.57699,214.761
12.94714,214.6902
13.69174,214.6725
13.36075,214.6725
13.25381,214.6725
13.10654,214.6725
13.1633,214.6725
13.13067,214.6725
13.37298,214.6725
12.91409,214.6725
13.09579,214.6725
13.23134,214.6725
12.95338,214.6725
13.23066,214.6155
13.74736,214.5459
13.07769,214.5396
13.37637,214.5396
13.41161,214.4953
13.95383,214.4953
13.34288,214.4953
13.07736,214.4953
12.53048,214.4953
13.2367,214.4776
13.71545,214.476
13.7289,214.4194
13.24338,214.4068
13.04662,214.4068
13.19335,214.4068
12.89217,214.4068
12.49547,214.4068
13.16033,214.4068
12.83769,214.4068
12.0062,214.4068
13.37807,214.3359
13.52274,214.3182
12.93123,214.3182
12.73881,214.3182
12.94418,214.3182
13.39488,214.2929
12.87932,214.2739
13.60763,214.1411
13.69221,214.1411
13.68631,214.1411
13.39193,214.1411
13.4179,214.1411
13.31999,214.1411
13.8273,214.1411
13.03547,214.1411
13.1857,214.1411
13.35393,214.1411
12.91543,214.1411
13.23661,214.1411
13.02837,214.1411
12.61951,214.1411
13.19217,214.1411
13.07352,214.1411
12.96052,214.1411
12.46859,214.1411
12.76502,214.1411
12.00139,214.1411
12.76502,214.1411
11.82419,214.1411
13.78114,214.1057
13.54348,213.964
13.32127,213.964
12.94434,213.964
12.9566,213.964
13.20415,213.964
13.6818,213.9564
13.82139,213.9197
13.15254,213.8754
13.0496,213.8754
13.01848,213.8754
12.85931,213.8754
12.99502,213.8754
12.88324,213.8754
12.81153,213.8754
12.93674,213.8754
12.25822,213.8754
12.19204,213.8754
11.98199,213.8754
13.45331,213.8597
13.78642,213.8368
13.02236,213.8311
13.11413,213.8311
13.21505,213.7869
13.06436,213.6629
12.694,213.654
13.414,213.6097
12.7044,213.6097
12.49223,213.6097
12.59998,213.6097
12.96866,213.6097
13.24186,213.6097
12.55937,213.6097
13.15787,213.6097
13.57187,213.592
12.58204,213.5212
13.45836,213.468
13.87382,213.4326
13.15249,213.3972
13.05284,213.3883
13.03553,213.344
13.63033,213.344
13.31916,213.344
13.02831,213.344
12.95131,213.344
12.92472,213.344
12.48413,213.344
13.03906,213.2555
12.85351,213.2555
14.04846,213.2378
13.47986,213.2378
12.7727,213.2112
13.86661,213.1058
13.09936,213.0784
12.72963,213.0784
13.12578,213.0784
13.18066,213.0784
12.87083,213.0784
12.96619,213.0784
12.68027,213.0784
12.88169,213.0784
12.41178,213.0784
13.03511,213.0784
12.63434,213.0784
11.97481,213.0784
12.74437,213.0784
13.69692,213.0397
13.86075,213.0341
13.31368,212.9898
13.37077,212.9012
12.60692,212.9012
13.63737,212.8127
13.45541,212.8127
13.19677,212.8127
13.13448,212.8127
13.24213,212.8127
12.95053,212.8127
12.98444,212.8127
12.52165,212.8127
13.50404,212.7595
12.7998,212.7241
12.62041,212.7241
13.42468,212.7064
12.97017,212.7064
14.02203,212.6533
13.29344,212.6503
13.06316,212.566
13.95002,212.547
13.09797,212.547
13.00169,212.547
12.96608,212.547
13.17723,212.547
13.17391,212.547
13.26691,212.547
12.755,212.547
12.89396,212.547
12.73623,212.547
12.67453,212.547
12.98956,212.547
11.84762,212.547
12.61956,212.547
13.57454,212.5293
13.33304,212.4407
12.92891,212.4142
13.66183,212.3699
12.80112,212.3699
12.63321,212.3699
13.62459,212.3193
13.18676,212.2813
13.62917,212.2813
13.80901,212.2813
12.94758,212.2813
13.14468,212.2813
13.11564,212.2813
12.9619,212.2813
12.80674,212.2813
13.26506,212.2813
13.40304,212.1927
12.873,212.1927
12.94153,212.1927
12.81239,212.1927
13.36762,212.0599
13.6942,212.0156
13.37018,212.0156
13.23537,212.0156
12.90182,212.0156
13.1441,212.0156
13.11515,212.0156
12.97225,212.0156
12.51798,212.0156
12.34743,212.0156
13.405,211.9713
12.8347,211.9625
13.00396,211.9625
13.11391,211.9094
12.83389,211.9094
13.08328,211.8828
13.48741,211.8385
13.56548,211.8385
13.37751,211.8385
12.92343,211.8385
13.38378,211.8385
12.70511,211.8385
12.95542,211.7499
12.359,211.7499
12.97633,211.7499
12.70314,211.7499
12.94987,211.7499
12.20826,211.7499
12.27036,211.7499
12.93099,211.6614
12.60754,211.6614
12.27205,211.6614
12.81736,211.6171
13.47559,211.5905
13.49077,211.5374
13.16556,211.5317
13.07508,211.5285
13.81302,211.4843
13.56735,211.4843
13.48308,211.4843
13.69372,211.4843
13.18393,211.4843
12.87702,211.4843
12.80609,211.4843
13.05191,211.4843
12.86896,211.4843
12.28442,211.4843
13.02744,211.4843
13.01815,211.4843
13.12382,211.4843
12.83895,211.4843
12.4795,211.4843
12.87898,211.4843
12.99326,211.4843
12.73837,211.4843
12.58199,211.4843
13.36366,211.4311
13.04315,211.3135
13.19476,211.3071
12.38787,211.3071
13.19538,211.2755
13.22307,211.2717
13.35333,211.2717
12.84669,211.2629
13.59005,211.2186
13.42205,211.2186
12.65386,211.2186
12.79954,211.2186
12.80546,211.2186
13.13647,211.2186
13.20734,211.2186
13.22405,211.2186
12.84416,211.2186
12.88128,211.2186
12.35642,211.2186
12.54976,211.2186
13.42126,211.1616
13.78361,211.13
13.54807,211.13
13.42179,211.13
13.38493,211.1005
13.16266,211.0906
12.95451,211.0857
13.0545,211.0857
13.38745,211.0415
13.26495,211.0415
13.58287,211.0288
13.68837,211.006
13.16971,210.9529
13.31056,210.9529
13.68288,210.9529
13.07251,210.9529
12.66159,210.9529
13.32693,210.9529
13.06799,210.9529
13.05313,210.9529
12.76679,210.9529
12.04135,210.9529
12.29502,210.9529
13.74694,210.8998
13.38726,210.7758
13.46485,210.7758
13.82607,210.7315
12.86561,210.6872
12.78475,210.6872
13.30827,210.6872
13.38587,210.6872
13.43811,210.6872
12.28067,210.6872
13.2981,210.6872
12.68888,210.6872
12.41245,210.6331
13.25492,210.5986
12.92948,210.5986
12.66094,210.5986
13.14282,210.5986
12.74339,210.5544
13.76214,210.4954
13.42836,210.4215
12.97511,210.4215
13.28805,210.4215
12.3302,210.4215
12.88478,210.4215
13.06567,210.4215
13.39709,210.4215
13.62237,210.4215
12.50633,210.4215
12.48572,210.4215
12.61906,210.4215
12.36337,210.4215
12.39572,210.4215
13.1301,210.3507
12.72272,210.3153
13.64298,210.2621
13.37445,210.2444
13.5107,210.2444
13.29615,210.2444
13.26091,210.2444
13.10056,210.2444
13.02847,210.2444
12.8552,210.2444
13.02318,210.2444
12.88045,210.2267
13.76729,210.1558
13.30496,210.1558
13.13916,210.1558
12.56741,210.1558
12.50067,210.1558
13.54976,210.0673
13.29987,210.0496
13.02394,209.9914
13.1697,209.9787
13.29553,209.9787
13.03894,209.8902
13.37635,209.8902
12.9304,209.8902
13.14271,209.8902
12.74625,209.8902
13.05988,209.8902
12.82994,209.8902
13.05939,209.8902
12.75036,209.8902
12.55442,209.8902
13.03435,209.8902
12.63368,209.8902
12.40279,209.8902
13.09225,209.8902
13.35414,209.8724
13.45353,209.8459
14.43101,209.7889
13.49425,209.7485
13.95998,209.713
13.13199,209.713
13.36301,209.713
12.9122,209.713
13.45721,209.713
12.96896,209.6814
12.97096,209.6245
12.60462,209.6245
12.9773,209.6245
12.90839,209.6245
12.81608,209.6245
12.08729,209.6245
13.13064,209.5359
13.08276,209.5359
13.20088,209.5359
13.32918,209.4347
13.26305,209.3588
13.15767,209.3588
13.36416,209.3588
12.93428,209.3588
13.16929,209.3588
13.23537,209.3588
13.14334,209.3588
13.03252,209.3588
13.27647,209.3588
13.0431,209.3588
13.09083,209.3588
12.72154,209.3588
13.00695,209.3588
12.26231,209.3588
13.53138,209.2702
13.39013,209.2702
13.50081,209.2525
13.44701,209.2525
14.04146,209.1817
13.27582,209.1817
13.14261,209.1817
13.4598,209.1817
12.9384,209.1817
12.95905,209.1817
13.46059,209.1817
13.44282,209.1374
13.54084,209.1058
13.72462,209.0931
13.38703,209.0931
13.56066,209.0931
13.40615,209.0931
12.96546,209.0931
13.03853,209.0931
12.98702,209.0931
12.51226,209.0931
13.10975,209.0457
12.90016,209.0045
12.83862,209.0045
12.94901,209.0045
13.16003,208.9868
13.4538,208.9337
13.25612,208.8806
13.94177,208.8274
13.46622,208.8274
13.43392,208.8274
12.93338,208.8274
13.49863,208.8274
12.95203,208.8274
13.16653,208.8274
12.35003,208.8274
13.30701,208.8274
12.75892,208.8274
13.41618,208.6503
13.12546,208.6503
13.23902,208.6149
13.57719,208.5617
13.50089,208.5617
13.59397,208.5617
12.8899,208.5617
12.31563,208.5617
12.92901,208.5617
12.48198,208.5617
12.5821,208.5617
12.48484,208.5617
12.80017,208.5522
13.59573,208.544
12.84428,208.4901
13.22645,208.4732
13.50191,208.4732
12.67231,208.4732
12.32705,208.4732
13.25331,208.4378
13.17501,208.4325
13.17795,208.3492
13.68901,208.3214
13.64888,208.2961
13.41387,208.2961
13.1789,208.2961
13.65674,208.2961
13.24295,208.2961
12.99592,208.2961
13.42958,208.2961
13.25007,208.2961
13.21685,208.2961
12.91176,208.2961
13.01697,208.2961
13.15293,208.2961
13.09307,208.2961
12.53211,208.2961
13.16839,208.2961
12.95726,208.2961
12.67615,208.2961
13.01136,208.2961
12.84342,208.2961
12.15921,208.2961
12.46601,208.2961
12.41749,208.2961
12.69516,208.2429
13.38709,208.2075
13.26151,208.1337
13.14483,208.1189
13.82364,208.1189
12.98457,208.1189
13.351,208.1189
13.53113,208.1158
13.68063,208.0304
13.246,208.0304
13.77352,208.0304
13.37948,208.0304
13.0307,208.0304
13.28892,208.0304
12.80481,208.0304
12.81515,208.0304
12.80794,208.0304
12.89082,208.0304
12.63416,208.0304
12.96993,208.0304
12.56115,208.0304
13.50711,207.9418
12.69193,207.9418
13.13968,207.8532
13.47519,207.8001
13.40729,207.7647
13.56793,207.7647
13.04219,207.7647
13.39433,207.7647
13.19495,207.7647
13.14887,207.7647
13.39143,207.7647
13.43946,207.7647
13.40546,207.7647
13.13299,207.7647
12.58607,207.7647
13.19118,207.7647
12.79688,207.7647
12.5452,207.7647
13.07683,207.7647
11.72384,207.7647
11.80521,207.7647
13.30377,207.7204
13.38615,207.6888
13.25379,207.6761
13.1352,207.6761
13.57928,207.5876
13.21939,207.5876
13.22511,207.5876
12.75196,207.5876
12.75973,207.5433
13.2614,207.499
13.06644,207.499
13.0568,207.499
12.75669,207.499
12.97189,207.499
12.83793,207.499
12.60788,207.499
13.06996,207.499
13.2857,207.499
12.69823,207.499
13.00043,207.4547
12.47771,207.4104
13.05881,207.4104
12.94644,207.4104
13.2999,207.3662
12.84214,207.3396
13.48919,207.2586
13.3064,207.2333
13.46868,207.2333
12.78519,207.2333
13.00287,207.2333
13.05606,207.2333
13.19514,207.2333
11.95732,207.2333
12.75642,207.2333
12.24143,207.2333
14.04031,207.1802
12.9814,207.0562
13.61575,207.0031
12.82585,207.0031
12.8345,206.9676
13.09079,206.9676
12.61265,206.9676
12.64739,206.9676
12.88363,206.9676
13.13929,206.9676
13.16962,206.9676
13.14801,206.9676
12.54972,206.9676
12.78065,206.9676
12.79916,206.9676
12.54278,206.9676
12.91697,206.9676
13.1412,206.9676
13.18428,206.8791
13.51627,206.8791
13.18344,206.8791
13.06581,206.8063
13.30062,206.7905
13.50673,206.7551
13.96746,206.702
13.78617,206.702
13.59212,206.702
13.21154,206.702
13.3945,206.702
12.91802,206.702
13.17041,206.702
12.82897,206.702
13.31216,206.702
12.60988,206.702
12.99756,206.702
13.53639,206.6577
12.81647,206.6577
13.10894,206.5691
13.08587,206.5248
13.20133,206.5248
13.70044,206.5248
13.13693,206.5248
12.88692,206.5248
12.46014,206.5248
13.85923,206.4363
13.98354,206.4363
13.25037,206.4363
12.87923,206.4363
13.40064,206.4363
13.06637,206.4363
12.85458,206.4363
12.64731,206.4363
13.11389,206.3983
13.69016,206.392
13.97788,206.392
12.91138,206.3625
13.27567,206.3477
12.8947,206.3477
13.55058,206.3255
13.40151,206.2946
13.3258,206.2591
13.40237,206.1706
13.38324,206.1706
13.49673,206.1706
13.21254,206.1706
13.08932,206.1706
13.23308,206.1706
12.83571,206.1706
12.92394,206.1706
13.43857,206.1706
12.39035,206.1706
12.66456,206.1706
14.09485,206.082
13.17418,206.0466
13.24053,205.9935
13.09803,205.9935
13.18494,205.9935
12.64362,205.9935
13.41459,205.9492
12.17027,205.9492
12.82377,205.9049
12.98001,205.9049
13.3222,205.9049
13.65456,205.9049
12.99185,205.9049
13.47027,205.9049
13.18775,205.9049
13.0965,205.9049
12.76923,205.9049
12.97878,205.9049
12.70121,205.9049
12.32587,205.9049
12.96666,205.9049
12.37667,205.9049
13.55405,205.8606
12.52866,205.8606
13.33524,205.8163
12.79855,205.8163
12.91343,205.8163
13.09904,205.7278
13.43384,205.7159
13.09571,205.6392
13.49909,205.6392
13.8864,205.6392
13.12472,205.6392
13.45923,205.6392
13.32961,205.6392
13.3084,205.6392
13.58947,205.6392
12.50972,205.6392
12.6932,205.6392
12.77203,205.6392
12.59487,205.6392
12.28397,205.6392
12.37486,205.6392
12.09225,205.6392
13.06514,205.6139
12.90166,205.4798
13.1823,205.4621
13.31789,205.4621
13.2327,205.4621
13.73581,205.4178
13.32006,205.409
13.1696,205.3735
13.03961,205.3735
12.41545,205.3735
12.51363,205.285
13.08251,205.285
13.05482,205.285
13.68027,205.1078
13.15208,205.1078
12.99449,205.1078
13.09763,205.1078
13.35008,205.1078
12.93809,205.1078
12.95541,205.1078
13.2514,205.1078
12.50712,205.1078
12.41175,205.1078
12.58291,205.1078
13.12869,205.1078
13.28382,205.1078
12.98553,205.1078
13.14504,205.1078
12.18707,205.1078
12.6378,205.1078
13.07767,205.1078
12.1867,205.1078
12.12231,205.1078
13.43598,205.0636
13.38287,205.0636
12.82221,205.0319
12.95936,205.0193
13.29972,205.0066
13.36535,204.9307
12.99759,204.9307
12.8189,204.9307
13.63092,204.8953
14.27446,204.8422
13.88556,204.8422
13.84238,204.8422
13.83374,204.8422
13.81327,204.8422
13.17711,204.8422
